央视,#genre#
CCTV17_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265015/ystenlive/index.m3u8
CCTV17_4M1080_易视腾,http://168.138.9.147:50001/1000000005000056836/ystenlive/index.m3u8

卫视,#genre#
安徽卫视_8M1080_华数,http://168.138.9.147:50001/6000000001000009954/wasusyt/index.m3u8
安徽卫视_8M1080_易视腾,http://168.138.9.147:50001/1000000001000030159/ystenlive/index.m3u8
安徽卫视_7.5M1080_百视通,http://168.138.9.147:50001/5000000004000023002/bestzb/index.m3u8
安徽卫视_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265025/ystenlive/index.m3u8
安徽卫视_4M1080_百视通,http://168.138.9.147:50001/5000000001000027288/bestzb/index.m3u8
安徽卫视_4M1080_易视腾,http://168.138.9.147:50001/1000000001000020780/ystenlive/index.m3u8
北京纪实科教_8M1080_易视腾,http://168.138.9.147:50001/1000000001000001910/ystenlive/index.m3u8
北京纪实科教_6.8M1080_百视通,http://168.138.9.147:50001/5000000011000031204/bestzb/index.m3u8
北京纪实科教_6.8M1080_湖南bblive,http://168.138.9.147:50001/2000000002000000065/hnbblive/index.m3u8
北京纪实科教_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265020/ystenlive/index.m3u8
北京纪实科教_4M1080_湖南bblive,http://168.138.9.147:50001/2000000003000000026/hnbblive/index.m3u8
北京纪实科教_4M1080_易视腾,http://168.138.9.147:50001/1000000001000028380/ystenlive/index.m3u8
北京卡酷少儿_6.8M1080_百视通,http://168.138.9.147:50001/7851974109718180595/bestzb/index.m3u8
北京卡酷少儿_4M576_易视腾,http://168.138.9.147:50001/1000000002000002413/ystenlive/index.m3u8
北京卡酷少儿_1.8M576_华数,http://168.138.9.147:50001/6000000003000002709/wasusyt/index.m3u8
北京卫视_8M1080_华数,http://168.138.9.147:50001/6000000001000020451/wasusyt/index.m3u8
北京卫视_8M1080_易视腾,http://168.138.9.147:50001/1000000001000021288/ystenlive/index.m3u8
北京卫视_7.5M1080_百视通,http://168.138.9.147:50001/5000000004000031556/bestzb/index.m3u8
北京卫视_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265027/ystenlive/index.m3u8
北京卫视_4M1080_百视通,http://168.138.9.147:50001/5000000010000011502/bestzb/index.m3u8
北京卫视_4M1080_易视腾,http://168.138.9.147:50001/1000000001000017156/ystenlive/index.m3u8
兵团卫视_4M576_易视腾,http://168.138.9.147:50001/1000000005000266005/ystenlive/index.m3u8
兵团卫视_4M540_百视通,http://168.138.9.147:50001/5000000006000040020/bestzb/index.m3u8
福建东南卫视_8M1080_百视通,http://168.138.9.147:50001/5000000004000010584/bestzb/index.m3u8
福建东南卫视_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265033/ystenlive/index.m3u8
福建东南卫视_4M1080_百视通,http://168.138.9.147:50001/5000000001000005829/bestzb/index.m3u8
福建东南卫视_4M1080_易视腾,http://168.138.9.147:50001/1000000002000009263/ystenlive/index.m3u8
甘肃卫视_6.8M1080_百视通,http://168.138.9.147:50001/5000000011000031121/bestzb/index.m3u8
甘肃卫视_4M1080_易视腾,http://168.138.9.147:50001/1000000002000017827/ystenlive/index.m3u8
甘肃卫视_4M540_百视通,http://168.138.9.147:50001/5000000006000040021/bestzb/index.m3u8
广东大湾区卫视_4M576_湖南bblive,http://168.138.9.147:50001/2000000003000000045/hnbblive/index.m3u8
广东大湾区卫视_4M576_易视腾,http://168.138.9.147:50001/1000000002000011619/ystenlive/index.m3u8
广东嘉佳卡通_4M576_易视腾,http://168.138.9.147:50001/1000000002000025964/ystenlive/index.m3u8
广东嘉佳卡通_1.8M576_华数,http://168.138.9.147:50001/6000000003000025508/wasusyt/index.m3u8
广东卫视_8M1080_百视通,http://168.138.9.147:50001/5000000004000014694/bestzb/index.m3u8
广东卫视_8M1080_华数,http://168.138.9.147:50001/6000000001000031076/wasusyt/index.m3u8
